ID,TL-01,TL-02,TL-03,TL-04,TL-05,TL-06,TL-07,TL-08,TL-09,TL-10,G-01,G-02,G-03,G-04,G-05,U-01,U-02,U-03,U-04,U-05,CF-01,CF-02,CF-03,CF-04,CF-05,CF-06,CF-07,C-01,C-02,EF-01,EF-02,EF-03,EF-04,EF-05,EF-06,IT-01,IT-02,IT-03,IT-04,IT-05,IT-06
ELN-34,FindMolecule,,FindMolecule,,https://findmolecule.com/ ,Active,Accessed trial,19/07/2024,"Secure infrastructure,
Backup and restore,
Encryption at rest,
Encryption in transit,
Authentication","Export to structured format,
Export to table format,
Export to document format",Closed Source,"Chemistry,
Biology","Freemium (Number of users, functions),
Academic,
Industry,
Per person / Tiered Pricing",Demo,Canada,No,"English,
French",Online documentation,No,None,"Browser forms,
Chemical editor/sketching,
Table editor,
Rich text editor,
Barcode Scanner",All formats,Drag and Drop/File Chooser,"Complete content in machine readable format,
Formats suitable for publication",None,"Advanced/conditional search,
Search for reactions by chemical structure","Rights management,
Role management","Electronic signature,
Audit Trail",FDA CFR 21 Part 11,"Materials database,
Inventory (devices),
Ordering function,
Sample Tracking",None,Data analysis,No,None,No,None,No,Browser based,Provider's Cloud,Software as a Service,Unknown
ELN-35,Github,,"GitHub, Inc.",,https://github.com/,Active,,26/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-36,Herbie,"Herbie is ideally suited for labs with manufacturing and characterization processes that are somehow standardized or performed more than once in a similar way. Users enter data in well-structured, pre-defined protocols of each process for comparability, quality assurance, and usability. The protocols are then flexibly linked to reflect the complete lifecycle of a sample or experiment. Additional free-text entries linked with research entities like people, projects, devices, samples, and data files enable the user to find everything relevant interconnected in one place. The inserted information is easily accessible in different contexts, such as chronological journals filtered by everything related to an entity or a tabular database view filled from the entries in the protocols. We want Herbie to fit well in the existing software ecosystem, so it provides export, import, an API, and connections to other software, such as the ELN Chemotion. Herbie is still growing, so more features will come soon.",Helmholtz-Zentrum Hereon," The ELN Herbie is originally tailored to cover and interlink the heterogeneous process chain of metallic biomaterials research, including materials development, biological characterization, and synchrotron imaging. Due to its modular structure, however, it can be and is already being adapted to other fields of materials science.",https://demo.chemotion.scc.kit.edu/,Inactive,Can no longer access demo instance nor any update on development provided.,22/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-37,Hivebench,,Elsevier,,,Inactive,,26/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-38,Jupyter Notebook,The original web application for creating and sharing computational documents,Project Jupyter,"Project Jupyter is a non-profit, open-source project, born out of the IPython Project in 2014 as it evolved to support interactive data science and scientific computing across all programming languages. Jupyter will always be 100% open-source software, free for all to use and released under the liberal terms of the modified BSD license.",https://jupyter.org/try,Active,,26/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-39,JupyterHub,"JupyterHub brings the power of notebooks to groups of users. It gives users access to computational environments and resources without burdening the users with installation and maintenance tasks. Users - including students, researchers, and data scientists - can get their work done in their own workspaces on shared resources which can be managed efficiently by system administrators.

JupyterHub runs in the cloud or on your own hardware, and makes it possible to serve a pre-configured data science environment to any user in the world. It is customizable and scalable, and is suitable for small and large teams, academic courses, and large-scale infrastructure.",Project Jupyter,"Project Jupyter is a non-profit, open-source project, born out of the IPython Project in 2014 as it evolved to support interactive data science and scientific computing across all programming languages. Jupyter will always be 100% open-source software, free for all to use and released under the liberal terms of the modified BSD license.",https://jupyter.org/hub,Active,,26/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-40,JupyterLab,The latest web-based interactive development environment,Project Jupyter,"Project Jupyter is a non-profit, open-source project, born out of the IPython Project in 2014 as it evolved to support interactive data science and scientific computing across all programming languages. Jupyter will always be 100% open-source software, free for all to use and released under the liberal terms of the modified BSD license.",https://jupyter.org/try,Active,,26/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-41,LabCloud,"LabCloud™ is a free, complete lab management solution for small and medium-sized R&D organizations.","LabCloud, Inc.",Labcloud Inc was founded 2013.,https://www.labcloudinc.com/,Inactive,Copyright statement not updated since 2020,23/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-42,LabGuru (BioData),"The Labguru Electronic Lab Notebook was created by scientists for scientists, with an intuitive and user-friendly interface facilitating onboarding and simplifying every aspect of research. The ELN software provides you with the structure necessary to organize your data and get the most out of your results, without compromising on flexibility and adaptability — making it the best ELN choice for modern research organizations.",BioData Inc,"Part of the Holtzbrinck Publishing Group; Jonathan Gross, Labguru’s founder, laid the groundwork for the founding of Labguru in 2008, when a young PI asked him to develop an integrated system for his new lab.",https://www.labguru.com/,Active,Active site,24/07/2024,"Backup and restore,
High availability and disaster recovery,
Encryption at rest,
Encryption in transit",Unknown,Closed Source,Life Sciences,Chargeable / Paid for / fee-based,Demo,"USA,
UK,
Israel",Yes,"English,
French,
Hebrew,
Spanish","User training (online, on site),
Online documentation,
Support by provider (Consulting)",Yes,Unknown,"Chemical editor/sketching,
Plain text editor,
With external links,
Freehand/Sketches,
Browser forms",All formats,Drag and Drop/File Chooser,"Formats suitable for long term archiving,
Formats suitable for publication","Import from internet sources,
Define own templates","Tagging,
Advanced/conditional search","Role management,
Rights management,
Comments","Audit Trail,
Electronic signature,
Timestamping","ISO 27001,
FDA CFR 21 Part 11","Inventory (devices),
LIMS connectivity,
Ordering function,
Materials database,
Sample Tracking",Marvin JS (ChemAxon),"Device control,
Autoupload/folder watch",Yes,Task management,Yes,"REST API,
Other API",Unknown,"Browser based,
Local client,
Responsive Design",Provider's Cloud,"Software as a Service,
On-premises","Windows,
Linux"
ELN-43,Labii,"Labii ELN (Electronic Laboratory Notebook) is a powerful digital platform that simplifies the documentation and management of experiments, enabling researchers to effortlessly capture detailed records of their procedures, observations, and results. By storing valuable research data in a single, organized repository, Labii ELN facilitates the generation of verifiable scientific discoveries and streamlines the research process. With its versatile applications in both production and R&D settings, Labii ELN offers various customization options to suit individual needs. Moreover, its seamless integration with other Labii modules enhances inventory management, further accelerating the pace of scientific innovation and discovery.",Labii Inc.,"Labii is a dynamic team of passionate professionals dedicated to revolutionizing how laboratories operate. With a deep understanding of the challenges faced by researchers, we've developed a suite of integrated tools and platforms designed to simplify lab management, accelerate research processes, and foster a collaborative environment.",https://www.labii.com/en ,Active,Site appears active,23/07/2024,"High availability and disaster recovery,
Encryption in transit,
Authentication,
Role-based access,
Encryption at rest,
Backup and restore",Unknown,Closed Source,"Biotech,
Chemistry,
Biology,
Energy,
Engineer,
Generic,
Life Sciences,
Natural Sciences,
Pharmacy","Freemium (Number of users, functions),
Chargeable / Paid for / fee-based,
Industry,
Per person / Tiered Pricing",Demo,USA,Yes,"Freely extensible,
English,
Wu Chinese","Online documentation,
User training (online, on site),
Support by provider (Consulting)","Can be turned off,
Complete statistics,
Configurable",Unknown,"Barcode Scanner,
Browser forms,
Chemical editor/sketching,
Dictation function,
Freehand/Sketches,
Mathematical formula/equation editor,
Microtitre plates,
Plain text editor,
Rich text editor,
Scientific calculator,
Table editor,
With internal links,
With external links",All formats,"Drag and Drop/File Chooser,
Mobile phone photo (via app)","Complete content in document format,
Complete content in machine readable format,
Formats suitable for long term archiving,
Formats suitable for publication","Define own templates,
Import from internet sources,
Import of own templates,
Microtitre plate templates,
Subject specific templates","Database queries,
Search by command line,
Advanced/conditional search,
Search for reactions by chemical structure","Comments,
Rights management,
Role management,
Notifications,
Real-time collaboration","Audit Trail,
Electronic signature,
Timestamping,
Versioning","Good Clinical practice (GCP),
Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP),
Health Level 7 (HL7),
HIPAA,
ISO 27001,
General Data Protection Regulation (GDPR),
SAFE-BioPharma Digital Identity and Signature Standard,
SOC2,
FDA CFR 21 Part 11","Freezer Management,
Inventory (devices),
LIMS connectivity,
Materials database,
Ordering function,
Sample Tracking","F1000Research,
GoogleDocs,
Google Drive,
OpenBabel,
Widgets,
On request,
BioMed Central (Springer Nature),
ChemDraw (Revvity Signals),
Create own plug-ins,
In-house plugins,
Marvin JS (ChemAxon),
MarvinSketch (ChemAxon),
Mendeley (Elsevier),
Pubchem (NLM),
SAP BTP,
SnapGene (Dotmatics)","On request,
Data analysis,
Autoupload/folder watch",Yes,"Calendar,
Taskboard,
Task management","Cross-project workflows,
Graphical,
Import possible,
Export possible,
Project-related workflows,
Reports","Command line input,
Other API,
Python API,
REST API,
SDK",Yes,"Browser based,
Local client,
Mobile Application,
Responsive Design","Provider's Cloud,
Local","Software as a Service,
On-premises",Unknown
ELN-44,LabLog,"Lab work is a dynamic and fast paced effort. Organize, track, and share your methods, experiments and data with a touch of a button.
Gain powerful insights into your weekly and monthly progress as new experiments become necessary.",LabLog,"LabLog was founded by two former postdoctoral researchers from NIH (National Institutes of Health), Dr. Hani Ebrahimi and Dr. Pamela Gallagher. After years of research experience at the senior level, they found themselves frustrated with a lack of good laboratory documents and workflow management systems. They decided to create LabLog — an Electronic Lab Notebook that helps researchers find more free time in the lab to focus on what matters most. ",https://labnotebook.app/,Inactive,Appears inactive. Awaiting free account confirmation. Seems to be fairly inactive from LinkedIn and on-site blog (no post since June 2021),24/07/2024,"Role-based access,
Secure software development life cycle (SDLC),
High availability and disaster recovery,
Backup and restore",,Closed Source,"Natural Sciences,
Life Sciences,
Generic",Chargeable / Paid for / fee-based,Demo,"UK,
USA",,,,,,,,,,,,,Unknown,"ISO 27001,
FDA CFR 21 Part 11",,,,,,,,,,,,
ELN-45,LabVantage,"An end-to-end laboratory information management (LIMS) platform has to work for everyone. For operators, who rely on it to streamline their daily work in the research lab, the QC lab, and at each point between. And for executives, who need real-time insights and meaningful, validated domain research to outsmart competitors. LabVantage LIMS is your solution—benchtop to boardroom.",LabVantage Solutions Inc.,Champions of digital transformation in lab-centered enterprises around the world,https://www.labvantage.com/,Active,Active updates on site,24/07/2024,"Backup and restore,
Secure software development life cycle (SDLC),
Encryption at rest,
Encryption in transit",Unknown,Closed Source,Generic,Chargeable / Paid for / fee-based,Demo,"USA,
UK",Unknown,English,"User training (online, on site),
Online documentation,
Support by provider (Consulting)",Unknown,Unknown,"Chemical editor/sketching,
With internal links,
With external links,
Annotation,
Plain text editor,
Table editor,
Rich text editor",All formats,Drag and Drop/File Chooser,Unknown,Define own templates,"Full text search,
Advanced/conditional search","Rights management,
Comments,
External guest permitted",Audit Trail,"ISO 27001,
GxP,
FDA CFR 21 Part 11","Asset management,
Materials database,
Inventory (devices),
Sample Tracking,
LIMS connectivity,
Instrument management",Marvin JS (ChemAxon),Data analysis,Unknown,Task management,Yes,None,Yes,"Browser based,
Responsive Design","Provider's Cloud,
Local,
Cloud of own choice","Software as a Service,
On-premises",Unknown
ELN-46,Limsophy,"Your work processes require storing unstructured research data. Your experiment reports are stored project- or study-related. You need elementary project management functions, employee assignment to projects and budget control. You want to document your work with freely definable experiment templates. Limsophy RIMS for research laboratories is best suited for you.",AAC Infotray AG,Technology platform and consulting expertise from Winterthur: AAC Infotray relies on expertise and flexibility to offer information management systems tailored to every customer need.,https://www.limsophy.com/en/lims-software/,Active,Site updated,25/07/2024,Unknown,Unknown,Closed Source,"Generic,
Life Sciences,
Genetics,
Chemistry,
Biology,
Pharmacology,
Pharmacy",Chargeable / Paid for / fee-based,None,Switzerland,Yes,"Multilingual,
German","User training (online, on site),
Support by provider (Consulting)",Unknown,"Offline cache,
Offline data capture","Barcode Scanner,
Mathematical formula/equation editor,
With external links,
Freehand/Sketches,
Chemical editor/sketching,
Dictation function,
Scientific calculator,
Table editor,
Plain text editor,
XHTML-Editor,
With internal links",All formats,"e-mail,
SMS/MMS,
Drag and Drop/File Chooser","Formats suitable for long term archiving,
Formats suitable for publication","Import of own templates,
Subject specific templates","Database queries,
Filtering,
Full text search,
File/data hierarchy,
Advanced/conditional search","Rights management,
Role management","Audit Trail,
Electronic signature,
Timestamping,
Versioning","Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP),
ISO 27001,
ASTM,
Good Clinical practice (GCP),
Health Level 7 (HL7),
SAFE-BioPharma Digital Identity and Signature Standard,
FDA CFR 21 Part 11","Inventory (devices),
Materials database,
Sample Tracking,
LIMS connectivity,
Freezer Management","Dropbox,
Google Drive,
GoogleDocs,
Box,
One Drive,
Dataverse,
DSpace,
Github,
Atlas CDS (Thermo Fisher Scientific),
ChemDraw (Revvity Signals),
Logger Pro (Vernier),
MarvinSketch (ChemAxon),
Microsoft Office Plug-in,
Mind the Graph (Cactus),
Teams,
SAP BTP,
SnapGene (Dotmatics)","Autoupload/folder watch,
Device control",Yes,"Calendar,
Taskboard,
Task management","Cross-project workflows,
Project-related workflows","REST API,
SDK,
ODBC",Unknown,"Browser based,
Local client","Local,
Cloud of own choice","On-premises,
Software as a Service",Unknown
ELN-47,LOGS-ELN (SIGNALS),"LOGS-ELN is a browser-based electronic lab notebook for scientists conducting experiments in biochemistry, chemistry, physical sciences, material sciences and other related fields. Besides the conventional ELN features (high-end text editor, experimental notes, dated entries, versioning & audit trail, import of images & documents, etc.) this ELN understands dataformats. Users can upload spectroscopic data from various vendors manually or automatically (e.g. NMR, EPR, UV/Vis, Raman, etc.) and LOGS-ELN will parse the format files, resulting in a searchable database of measurements, and the ability to display spectra within a built in spectrum viewer. Data can be linked and be displayed within the ELN seamlessly, via drag & drop functionality. This innovative combination results in the ability to document the complete data cycle for all research needs. By linking experimental protocols directly with measurement data, the experimental documentation lays the necessary ground work for a lab that conducts and saves data in a FAIR fashion. LOGS-ELN can be combined with LOGS-SDMS, a scientific data management system that is able to collect data from lab instruments automatically, and includes a sample database that keeps track of sample measurements, storage coordinates and linked media.",SIGNALS GmbH & Co KG,"Effectively now owned by Bruker as part of SciY, which is their software arm launched in June 2023.",https://logs.sciy.com/products,Inactive,"LOGS-ELN doesn't appear to be continued. Company bought out by Sciy, meaning LOGS standalone (LOGS-SDMS) is a separate data management system to the ELN or LIMS provided by Sciy (Arxspan and Mestrelab (SciY-owned)'s Mbooks).",25/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-48,Mbl Book,,SMI Softmark Informationstechnologien GmbH i. L.,,,Inactive,,25/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-49,Mbook Chemistry/ Analytical (Mestrelab),"Mbook Chemistry and Analytical are web-based, cloud-hosted or in-house ELN solutions. They are ideally suited for synthetic or analytical chemists,respectively. Mbook is designed to accommodate users of distinct hierarchical profiles (from bench chemist to group manager) with associated permission (from read only to full project and team management). Mbook allows the creation of working teams and projects within which the level of access can be restricted. Mbook Chemistry comes with Mbook Photo, a free App for tablets and mobile devices, making it easy for chemists to take snapshots in the lab and upload them effortlessly to their experiments. Mbook Analytical instead houses more analytical chemist-friendly features. These have been grouped for their overall similarities.
",Mestrelab Research (Bruker BioSpin Corporation),"Effectively now owned by Bruker as part of SciY, which is their software arm launched in June 2023.",https://mestrelab.com/software/mbook-eln-general/,Active,Active site and upcoming events. Mbook v3.1.1 launched July 10th 2023.,25/07/2024,"Encryption in transit,
Backup and restore",Export to structured format,Closed Source,"Chemistry,
Life Sciences,
Pharmacy","Academic,
Industry,
Per person / Tiered Pricing,
Chargeable / Paid for / fee-based",Demo,Spain,No,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)",Yes,Unknown,"Chemical editor/sketching,
Plain text editor,
Scientific calculator,
With external links",All formats,"Mobile phone photo (via app),
Drag and Drop/File Chooser","Formats suitable for long term archiving,
Formats suitable for publication,
Complete content in document format,
Complete content in machine readable format",Unknown,"Full text search,
File/data hierarchy,
Advanced/conditional search,
Search for reactions by chemical structure","Role management,
External guest permitted","Audit Trail,
Electronic signature",FDA CFR 21 Part 11,"Inventory (devices),
Materials database","Other vendor products,
ChemDraw (Revvity Signals),
Marvin JS (ChemAxon)",Data analysis,Unknown,Task management,Unknown,REST API,No,"Browser based,
Mobile Application","Local,
Provider's Cloud","On-premises,
Software as a Service","Linux,
MacOS,
Windows"
ELN-50,NOMAD,"NOMAD lets you manage and share your materials science data in a way that makes it truly useful to you, your group, and the community. Free and open source. NOMAD processes uploaded files to extract structured data and rich metadata. Extend and customize NOMAD's schema to create specialized ELN editors to document your work and data.",FAIRmat,"
FAIRmat is a consortium of many German universities and reasearch institutes. FAIRmat is building a FAIR data infrastructure for condensed-matter physics and the chemical physics of solids.",https://nomad-lab.eu/nomad-lab/,Active,v1.3.3 released two weeks prior,25/07/2024,Unknown,Backups of all notebooks simultaneously with transfer to an institutional repository or other storage location,"Open Source,
Apache 2.0",Materials,Free,Demo,Germany,Yes,English,Online documentation,Can be turned off,Unknown,"Browser forms,
Rich text editor,
Plain text editor,
With external links,
With internal links",All formats,Drag and Drop/File Chooser,"Direct publication option,
Complete content in document format,
Complete content in machine readable format,
Formats suitable for long term archiving,
Formats suitable for publication","Define own templates,
Import of own templates","Advanced/conditional search,
Search for reactions by chemical structure",Rights management,Timestamping,None,None,"JupyterHub,
In-house plugins","Data analysis,
Autoupload/folder watch",Unknown,Unknown,Unknown,"REST API,
Python API",Yes,Browser based,"Cloud of own choice,
Local,
Provider's Cloud","On-premises,
Software as a Service",Linux
ELN-51,NuGenesis LMS (Waters Corporation),"NuGenesis LMS, the analytical electronic laboratory notebook capability of the NuGenesis Lab Management System (LMS), enables labs to document observations, control procedures, exchange information with other software solutions, and easily find and collaborate on scientific results. Additionally, it interacts with the NuGenesis SDMS (data archival) component, Waters Laboratory Acquisition Control Environment (LAC/E) devices, SAP, and Empower. ",Waters Corporation,"At Waters,  we unlock the potential of science by solving problems that matter. Our software and instruments ensure the safety of the medicines we take, the purity of the food we eat and the water we drink, and the quality and durability of products we use every day. Together with our customers, in labs around the world, we deliver scientific insights to improve human health and well-being, helping to leave the world better than we found it.",https://www.waters.com/nextgen/us/en/products/informatics-and-software/lms-and-data-management/nugenesis-software/nugenesis-lms.html,Active,Active site,25/07/2024,Unknown,Unknown,Closed Source,Generic,Chargeable / Paid for / fee-based,Demo,USA,Unknown,English,"User training (online, on site),
Support by provider (Consulting)",Unknown,Unknown,"Barcode Scanner,
With external links,
Chemical editor/sketching,
Scientific calculator,
Plain text editor,
Mathematical formula/equation editor,
Table editor,
With internal links",All formats,Drag and Drop/File Chooser,"Formats suitable for publication,
Formats suitable for long term archiving","Define own templates,
Import of own templates,
Subject specific templates","Full text search,
Database queries,
Filtering,
Advanced/conditional search","Rights management,
Role management","Audit Trail,
Electronic signature,
Timestamping,
Versioning","Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP),
CROMERRR,
SAFE-BioPharma Digital Identity and Signature Standard,
FDA CFR 21 Part 11","Materials database,
Sample Tracking,
LIMS connectivity,
Inventory (devices)","Other vendor products,
ChemDraw (Revvity Signals),
SAP BTP",Autoupload/folder watch,Yes,Calendar,Cross-project workflows,Other API,Yes,Local client,Local,On-premises,Windows
ELN-52,OneNote (Microsoft),One cross-functional notebook for all your notetaking needs.,Microsoft,,https://www.microsoft.com/en-gb/microsoft-365/onenote/digital-note-taking-app,Active,Microsoft endures,25/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-53,Open Enventory,"Web-based Electronic Laboratory Notebook (ELN) with integrated Chemical Inventory by the group of Prof. Goossen (TU Kaiserslautern, Germany), based on PHP/MySQL. Allows (sub-)structure search, reaction planning, management of spectra and literature.",Technische Universitat Kaiserslautern,The ELN was developed by Felix Rudolphi,https://sourceforge.net/projects/enventory/,Active,Last updated 24/05/2024,25/07/2024,Unknown,"Export to structured format,
Export to document format","AGPL 3.0,
Open Source",Chemistry,Free,Demo,Germany,No,"French,
German,
English,
Spanish,
Portuguese","Online documentation,
Support by provider (Consulting)",No,None,"Browser forms,
Chemical editor/sketching,
Rich text editor,
Plain text editor",All formats,Drag and Drop/File Chooser,"Complete content in document format,
Complete content in machine readable format,
Formats suitable for long term archiving,
Formats suitable for publication",None,"Database queries,
Full text search,
Advanced/conditional search,
Search for reactions by chemical structure",Rights management,Versioning,None,"Materials database,
Ordering function","Ketcher Editor,
ChemDoodle (iChemLabs),
ChemDraw (Revvity Signals)",Autoupload/folder watch,Yes,Task management,No,None,No,"Local client,
Browser based",Local,On-premises,"Linux,
Windows"
ELN-54,openBis,"Describe your wet lab experiments or computer experiments and link to materials, samples, and protocols stored in the inventory.",ETH Zurich,The dev team are part of ETH Zurich Scientific IT Services,https://openbis.ch/,Active,Latest version v20.10.8 released 29 May 2024,26/07/2024,"Continuous maintenance,
Secure software development life cycle (SDLC)",Export to structured format,"AGPL 3.0,
Open Source","Generic,
Life Sciences,
Materials,
Biology",Free,Demo,Switzerland,Yes,English,"Online documentation,
User training (online, on site)",Unknown,Unknown,"Barcode Scanner,
Table editor,
With external links,
Plain text editor,
Browser forms,
Freehand/Sketches,
With internal links",All formats,Drag and Drop/File Chooser,"Formats suitable for long term archiving,
Formats suitable for publication,
Direct publication option","Import of own templates,
Subject specific templates","BLAST Search,
Database queries,
Advanced/conditional search","Role management,
Rights management","Audit Trail,
Timestamping",None,"Materials database,
Sample Tracking,
LIMS connectivity,
Freezer Management,
Inventory (devices)","JupyterHub,
FAIRDOM,
PlasMapper,
DSpace,
Create own plug-ins",Autoupload/folder watch,Yes,Task management,Yes,"Other API,
REST API,
SDK,
Python API,
Java API",Unknown,Browser based,"Local,
Cloud of own choice",On-premises,"MacOS,
Linux"
ELN-55,OSF,"OSF is a free, open platform to support your research and enable collaboration.",Center for Open Science,"The Center for Open Science (COS) was founded in 2013 to start, scale, and sustain open research practices that will democratize access to research, improve inclusion of all stakeholders, enhance accountability to research integrity, facilitate the self-corrective process of science, expand transparency and sharing of all research content, and improve research rigor and reproducibility.",https://osf.io/,Active,Latest version v19.31.0 released 08/11/2019,26/07/2024,,Backups of all notebooks simultaneously with transfer to an institutional repository or other storage location,"Apache 2.0,
Open Source",,,,,,,,,,,,,,,,,,,,"Zotero,
Dropbox,
Google Drive,
Mendeley (Elsevier)",,,,,,,,,,
ELN-56,Overleaf,"Write like a rocket scientist with Overleaf
—the collaborative, online LaTeX editor that anyone can use.",Overleaf,"Overleaf is a startup and social enterprise that builds modern collaborative authoring tools to help make science and research faster, more open and more transparent.

Overleaf’s market-leading collaboration technology is now in use by over 17 million researchers, students, and teachers in institutions, labs, and industry worldwide.",https://www.overleaf.com/,Active,,26/07/2024,,Backups of all notebooks simultaneously with transfer to an institutional repository or other storage location,Closed Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-57,PASTA-ELN,"PASTA-ELN is a free and open-source desktop software that facilitates transparent and consistent research data management in experimental science.
Keeping the raw scientific data at its source, e.g., on the hard disk of the researcher or the respective microscope, is one of the core principles of PASTA-ELN. The local storage of the data ensures its accessibility with conventional analysis software while maintaining its confidentiality and security. At the same time, an adaptive CouchDB document database is used to store metadata, including the hierarchical structure of the project.
PASTA-ELN extractor scripts process the raw measurement files while scanning the working directory. As a result, thumbnails, data, and metadata are automatically captured and integrated into the project. Scientists can create new or modify existing extractor scripts to tailor the data and metadata extraction to their needs.
In addition, PASTA-ELN facilitates seamless data exchange through a compatible (.eln) file format that conforms to the RO-Crate standard. This feature promotes effective archiving and migration of data and metadata across platforms, supporting collaboration and data interoperability.","Forschungszentrum Jülich, Institute Structure and Function of Materials (IEK-2)","The ELN is developed by Dr. Steffen Brinckmann at the Institute Structure and Function of Materials (IEK-2), Forschungszentrum Jülich.",https://github.com/PASTA-ELN/pasta-eln,Active,Github maintained. v2.6.0,26/07/2024,"Continuous maintenance,
Backup and restore",Export to packed format,"Open Source,
MIT","Engineer,
Life Sciences,
Generic,
Natural Sciences,
Materials",Free,None,Germany,Yes,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)",No,Offline data capture,"Plain text editor,
Rich text editor",All formats,Drag and Drop/File Chooser,"Formats suitable for long term archiving,
Complete content in document format,
Complete content in machine readable format",Define own templates,"Filtering,
Advanced/conditional search",Role management,"Timestamping,
Versioning",Good Laboratory Practice (GLP),None,Dataverse,"Data analysis,
Autoupload/folder watch",No,None,No,Python API,No,Local client,Local,On-premises,"Linux,
Windows"
ELN-58,Perkin Elmer Signals,,PerkinElmer Inc.,,,Inactive,,26/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-59,PerkinElmer E-Notebook,,PerkinElmer Inc.,,,Inactive,,26/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-60,Pillar Science,,Pillar Science,,,Inactive,,26/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-61,Protocols.io,"protocols.io is perfect for science methods, assays, clinical trials, operational procedures and checklists for keeping your protocols up do date as recommended by Good Laboratory Practice (GLP) and Good Manufacturing Practice (GMP)",protocols.io,Part of Springer Nature,https://www.protocols.io/ ,Active,Online,26/07/2024,,,Closed Source,,,,,,,,,,,,,,,,,,"Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP)",,,,,,,,,,,,
ELN-62,quattro/LJ,"Our electronic lab journal quattro/LJ is a powerful web-based laboratory notebook designed for a large variety of scientific disciplines within research and development. It can be easily combined with the compound management system quattro/CM and analysis extension quattro/BA.
Your experiments are documented and categorized digitally; audit trails and versions are tracked securely. quattro/LJ allows to work collaboratively on shared projects and experiments reducing redundancy and improving data integrity. Experiments can be electronically reviewed, signed and finalized. Experiments can be easily found as attachments can be searched and favourites can be defined.
Customization for individual requirements, data safety processes and integration to other systems, such as chemistry databases or compound management systems, is supported.",quattro research GmbH,"Founded in 2004 by Dr Bernhard Schirm and Dr Markus Weisser, quattro research GmbH has its roots in their many years of experience in software development in the life sciences. As early as 1999, the two developed their first electronic laboratory notebook (ELN): quattro/LJ.",https://www.quattro-research.com/en/quattro-lj-2/,Active,Semi-active site. No posts since October 2023. Company appears alive and growing on LinkedIn.,26/07/2024,"Role-based access,
Authentication,
Secure infrastructure",Unknown,Closed Source,"Biology,
Chemistry,
Consumables,
Generic,
Life Sciences,
Natural Sciences,
Pharmacy,
Genetics","Per person / Tiered Pricing,
Academic,
Industry,
Chargeable / Paid for / fee-based",Demo,Germany,Yes,"English,
German","Online documentation,
User training (online, on site),
Support by provider (Consulting)",Configurable,Unknown,"Barcode Scanner,
Chemical editor/sketching,
Browser forms,
Plain text editor,
With external links,
With internal links,
Table editor","Image formats,
MS Office formats,
Document formats,
Table formats",Drag and Drop/File Chooser,"Complete content in document format,
Complete content in machine readable format,
Formats suitable for long term archiving,
Formats suitable for publication","Define own templates,
Subject specific templates","Full text search,
Advanced/conditional search","Comments,
Role management,
Rights management","Audit Trail,
Timestamping,
Versioning,
Electronic signature",None,"LIMS connectivity,
Sample Tracking,
Materials database",None,On request,No,Task management,Unknown,REST API,No,"Browser based,
Mobile Application,
Responsive Design,
Local client","Local,
Cloud of own choice",On-premises,Windows
ELN-63,Riffyn Nexus,,Riffyn,,,Inactive,,26/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
