ID,TL-01,G-01,U-01,U-02,U-03,CF-01,CF-02,CF-04,CF-05,CF-06,CF-07,C-01,C-02,EF-01,EF-02,EF-03,EF-05,EF-06,IT-01,IT-02,IT-03,IT-04
ELN-50,NOMAD,"Open Source,
Apache 2.0",Yes,English,Online documentation,"Browser forms,
Rich text editor,
Plain text editor,
With external links,
With internal links",All formats,"Direct publication option,
Complete content in document format,
Complete content in machine readable format,
Formats suitable for long term archiving,
Formats suitable for publication","Define own templates,
Import of own templates","Advanced/conditional search,
Search for reactions by chemical structure",Rights management,Timestamping,,,"JupyterHub,
In-house plugins","Data analysis,
Autoupload/folder watch",Unknown,Unknown,"REST API,
Python API",Yes,Browser based,"Cloud of own choice,
Local,
Provider's Cloud"
ELN-51,NuGenesis LMS (Waters Corporation),Closed Source,Unknown,English,"User training (online, on site),
Support by provider (Consulting)","Barcode Scanner,
With external links,
Chemical editor/sketching,
Scientific calculator,
Plain text editor,
Mathematical formula/equation editor,
Table editor,
With internal links",All formats,"Formats suitable for publication,
Formats suitable for long term archiving","Define own templates,
Import of own templates,
Subject specific templates","Full text search,
Database queries,
Filtering,
Advanced/conditional search","Rights management,
Role management","Audit Trail,
Electronic signature,
Timestamping,
Versioning","Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP),
CROMERRR,
SAFE-BioPharma Digital Identity and Signature Standard,
FDA CFR 21 Part 11","Materials database,
Sample Tracking,
LIMS connectivity,
Inventory (devices)","Other vendor products,
ChemDraw (Revvity Signals),
SAP BTP",Autoupload/folder watch,Calendar,Cross-project workflows,Other API,Yes,Local client,Local
ELN-52,OneNote (Microsoft),,,,,,,,,,,,,,,,,,,,,
ELN-53,Open Enventory,"AGPL 3.0,
Open Source",No,"French,
German,
English,
Spanish,
Portuguese","Online documentation,
Support by provider (Consulting)","Browser forms,
Chemical editor/sketching,
Rich text editor,
Plain text editor",All formats,"Complete content in document format,
Complete content in machine readable format,
Formats suitable for long term archiving,
Formats suitable for publication",,"Database queries,
Full text search,
Advanced/conditional search,
Search for reactions by chemical structure",Rights management,Versioning,,"Materials database,
Ordering function","Ketcher Editor,
ChemDoodle (iChemLabs),
ChemDraw (Revvity Signals)",Autoupload/folder watch,Task management,No,,No,"Local client,
Browser based",Local
ELN-54,openBis,"AGPL 3.0,
Open Source",Yes,English,"Online documentation,
User training (online, on site)","Barcode Scanner,
Table editor,
With external links,
Plain text editor,
Browser forms,
Freehand/Sketches,
With internal links",All formats,"Formats suitable for long term archiving,
Formats suitable for publication,
Direct publication option","Import of own templates,
Subject specific templates","BLAST Search,
Database queries,
Advanced/conditional search","Role management,
Rights management","Audit Trail,
Timestamping",,"Materials database,
Sample Tracking,
LIMS connectivity,
Freezer Management,
Inventory (devices)","JupyterHub,
FAIRDOM,
PlasMapper,
DSpace,
Create own plug-ins",Autoupload/folder watch,Task management,Yes,"Other API,
REST API,
SDK,
Python API,
Java API",Unknown,Browser based,"Local,
Cloud of own choice"
ELN-55,OSF,"Apache 2.0,
Open Source",,,,,,,,,,,,,"Zotero,
Dropbox,
Google Drive,
Mendeley (Elsevier)",,,,,,,
ELN-56,Overleaf,Closed Source,,,,,,,,,,,,,,,,,,,,
ELN-57,PASTA-ELN,"Open Source,
MIT",Yes,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)","Plain text editor,
Rich text editor",All formats,"Formats suitable for long term archiving,
Complete content in document format,
Complete content in machine readable format",Define own templates,"Filtering,
Advanced/conditional search",Role management,"Timestamping,
Versioning",Good Laboratory Practice (GLP),,Dataverse,"Data analysis,
Autoupload/folder watch",,No,Python API,No,Local client,Local
ELN-61,Protocols.io,Closed Source,,,,,,,,,,,"Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP)",,,,,,,,,
ELN-62,quattro/LJ,Closed Source,Yes,"English,
German","Online documentation,
User training (online, on site),
Support by provider (Consulting)","Barcode Scanner,
Chemical editor/sketching,
Browser forms,
Plain text editor,
With external links,
With internal links,
Table editor","Image formats,
MS Office formats,
Document formats,
Table formats","Complete content in document format,
Complete content in machine readable format,
Formats suitable for long term archiving,
Formats suitable for publication","Define own templates,
Subject specific templates","Full text search,
Advanced/conditional search","Comments,
Role management,
Rights management","Audit Trail,
Timestamping,
Versioning,
Electronic signature",,"LIMS connectivity,
Sample Tracking,
Materials database",,On request,Task management,Unknown,REST API,No,"Browser based,
Mobile Application,
Responsive Design,
Local client","Local,
Cloud of own choice"
ELN-64,SampleDB,"Open Source,
MIT",No,"English,
German","Online documentation,
Support by provider (Consulting)","Browser forms,
Plain text editor",Image formats,"Complete content in document format,
Complete content in machine readable format",Define own templates,"Database queries,
Full text search,
Tagging,
Advanced/conditional search","Comments,
Rights management,
Role management","Timestamping,
Versioning",,"Materials database,
Sample Tracking","JupyterHub,
Dataverse","Data analysis,
Autoupload/folder watch,
Device control","Task management,
Calendar","Yes,
Export possible",REST API,No,"Responsive Design,
Browser based",Local
ELN-65,Sapio Platform (Triple Play),Closed Source,Unknown,English,Support by provider (Consulting),"Free notes,
Freehand/Sketches,
Annotation",Unknown,Unknown,Define own templates,"Advanced/conditional search,
Search for reactions by chemical structure",Real-time collaboration,Unknown,"ISO 27001,
SOC2,
HIPAA,
FDA CFR 21 Part 11","LIMS connectivity,
Sample Tracking,
Materials database","In-house plugins,
Other vendor products","Data analysis,
Autoupload/folder watch",,"Yes,
Graphical,
Reports",Other API,Unknown,Browser based,Provider's Cloud
ELN-66,SciCord,Closed Source,No,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)","Barcode Scanner,
Plain text editor,
Table editor",Unknown,Formats suitable for long term archiving,"Import of own templates,
Define own templates","Full text search,
Advanced/conditional search","Comments,
Role management,
Rights management,
Notifications","Audit Trail,
Electronic signature,
Timestamping,
Versioning","Good Clinical practice (GCP),
Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP),
FDA CFR 21 Part 11","Materials database,
LIMS connectivity,
Inventory (devices),
Sample Tracking",In-house plugins,"Autoupload/folder watch,
Data analysis",Task management,Yes,Other API,Unknown,Local client,Provider's Cloud
ELN-67,Sciformation,Closed Source,Yes,"English,
German,
French,
Spanish,
Mandarin Chinese","Online documentation,
User training (online, on site),
Support by provider (Consulting)","Barcode Scanner,
Browser forms,
Chemical editor/sketching,
Plain text editor,
Mathematical formula/equation editor,
With internal links,
Table editor,
Freehand/Sketches,
XHTML-Editor,
Annotation",All formats,"Complete content in document format,
Complete content in machine readable format,
Formats suitable for long term archiving,
Formats suitable for publication","Define own templates,
Microtitre plate templates","Database queries,
Full text search,
Advanced/conditional search,
Search for reactions by chemical structure","Comments,
Rights management,
Role management","Audit Trail,
Electronic signature,
Versioning",,"Instrument management,
Materials database,
Ordering function","Ketcher Editor,
ChemDoodle (iChemLabs),
ChemDraw (Revvity Signals),
Label printing (Other)","Data analysis,
Autoupload/folder watch","Task management,
Calendar",Reports,,No,"Browser based,
Local client,
Responsive Design","Local,
Cloud of own choice"
ELN-68,Scilligence,Closed Source,Unknown,English,Support by provider (Consulting),"Chemical editor/sketching,
HELM editor",All formats,Formats suitable for publication,Define own templates,Database queries,Real-time collaboration,"Electronic signature,
Locking",ISO 27001,LIMS connectivity,In-house plugins,Unknown,,Reports,,Unknown,Browser based,"Provider's Cloud,
Local"
ELN-69,Word (Microsoft),,,,,,,,,,,,,,,,,,,,,
